Product Name;Lowest Price;Promo Price @ FPT;Promo Price @ FPT + VNPay;Promo Price @ MW;Promo Price @ MW + VNPay;Promo Price @ TopZone;Promo Price @ TZ + VNPay;Promo Price @ VT;Promo Price @ VT + VNPay;Promo Price @ SD;Promo Price @ SD + VNPay;Promo Price @ HH;Promo Price @ HH + VNPay;Promo Price @ DDV;Promo Price @ CPS;Promo Price @ CPS + VNPAY;Promo Price @ Tiki;Promo Price @ Shopee;Stock @ FPT;Stock @ MW;Stock @ TopZone;Stock @ VT;Stock @ SD;Stock @ HH;Stock @ DDV;Stock @ CPS;Stock @ Tiki;Stock @ Shopee;Date
"MacBook Air 13"" 2020 M1 256GB";22.190.000;23.499.000;23.099.000;23.290.000;23.290.000;23.090.000;22.790.000;update later;update later;22.850.000;22.350.000;22.690.000;22.190.000;22.490.000;23.190.000;22.690.000;22.900.000;22.600.000;Yes;Yes;Yes;update later;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-31
"MacBook Air 13"" 2020 M1 512GB";28.490.000;30.699.000;30.299.000;31290000;31290000;31.090.000;30.790.000;update later;update later;29.990.000;29.490.000;30.590.000;30.090.000;29.990.000;28.990.000;28.490.000;30.490.000;35.990.000;Yes;Yes;Yes;update later;Yes;Yes;No;No;Yes;No;2022-08-31
Apple Watch Series 7 GPS + Cellular 45mm viền nhôm dây cao su;12.490.000;13.490.000;13.190.000;13.990.000;13.590.000;13.990.000;13.590.000;13.490.000;12.815.500;13.590.000;13.490.000;13.490.000;13.240.000;12.490.000;12.990.000;12.690.000;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;not trading;2022-08-31
Apple Watch Series 7 GPS + Cellular 41mm viền nhôm dây cao su;11.490.000;12.890.000;12.590.000;12.990.000;12.590.000;13.490.000;13.090.000;12.490.000;11.865.500;12.790.000;12.690.000;12.990.000;12.740.000;11.490.000;11.990.000;11.690.000;not trading;14.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;No;2022-08-31
Apple Watch Series 7 GPS 45mm viền nhôm dây cao su;9.965.500;10.990.000;10.690.000;11.790.000;11.390.000;11.490.000;11.090.000;10.490.000;9.965.500;10.490.000;10.390.000;10.890.000;10.640.000;10.790.000;10.890.000;10.590.000;10.950.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-31
Apple Watch Series 7 GPS 41mm viền nhôm dây cao su;9.290.000;9.990.000;9.690.000;10.790.000;10.390.000;10.290.000;9.890.000;9.790.000;9.300.500;9.390.000;9.290.000;9.590.000;9.340.000;9.590.000;9.790.000;9.490.000;9.690.000;9.690.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-31
Apple Watch SE GPS + Cellular 44mm viền nhôm dây cao su;7.890.000;8.899.000;8.599.000;9.990.000;9.590.000;9.490.000;9.090.000;temporary OOS;temporary OOS;7.990.000;7.890.000;8.690.000;8.440.000;9.590.000;8.290.000;7.990.000;not trading;not trading;Yes;Yes;Yes;No;Yes;Yes;No;Yes;not trading;not trading;2022-08-31
Apple Watch SE GPS + Cellular 40mm viền nhôm dây cao su;7.590.000;8.399.000;8.099.000;not trading;not trading;not trading;not trading;8290000;7875500;8.290.000;8.190.000;7.690.000;7.590.000;8.590.000;7.790.000;7.640.000;not trading;not trading;No;not trading;No;Yes;Yes;Yes;No;Yes;not trading;not trading;2022-08-31
Apple Watch SE GPS 44mm viền nhôm dây cao su;7.115.500;7.999.000;7.699.000;7.790.000;7.790.000;7.790.000;7.390.000;7490000;7115500;7.490.000;7.390.000;7.490.000;7.390.000;8.590.000;7.590.000;7.440.000;not trading;7.990.000;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;not trading;Yes;2022-08-31
Apple Watch SE GPS 40mm viền nhôm dây cao su;6.199.000;6.499.000;6.199.000;6.790.000;6.790.000;6.790.000;6.390.000;6990000;6640500;6.390.000;6.290.000;6.590.000;6.490.000;6.490.000;6.390.000;6.240.000;not trading;6.990.000;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;not trading;Yes;2022-08-31
Apple Watch Series 3 GPS 42mm viền nhôm dây cao su;5.250.000;5.749.000;5.449.000;5.790.000;5.790.000;5.790.000;5.390.000;not trading;not trading;5.490.000;5.390.000;5.590.000;5.490.000;update later;5.400.000;5.250.000;5.440.000;5290000;Yes;Yes;Yes;not trading;Yes;Yes;update later;No;Yes;Yes;2022-08-31
Apple Watch Series 3 GPS 38mm viền nhôm dây cao su;4.290.000;4.799.000;4.499.000;4.890.000;4.890.000;4.890.000;4.490.000;temporary OOS;temporary OOS;4.390.000;4.290.000;4.790.000;4.690.000;update later;4.500.000;4.350.000;not trading;4.590.000;Yes;Yes;Yes;No;Yes;Yes;update later;No;not trading;Yes;2022-08-31
AirPods Max;9.540.000;12.499.000;12.499.000;13.290.000;13.190.000;12.590.000;12.590.000;11.690.000;11.690.000;12.590.000;12.490.000;9.790.000;9.540.000;9.590.000;9.890.000;9.590.000;14.990.000;13.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;2022-08-31
AirPods Pro 2021;4.390.000;4.799.000;4.799.000;5.390.000;5.290.000;5.390.000;5.390.000;4.890.000;4.840.000;4.590.000;4.490.000;4.590.000;4.490.000;4.390.000;4.690.000;4.540.000;4.790.000;4.790.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-31
AirPods 3 2021;4.250.000;4.799.000;4.799.000;4.790.000;4.690.000;4.790.000;4.790.000;4.490.000;4.440.000;4.550.000;4.450.000;4.350.000;4.250.000;4.490.000;4.590.000;4.440.000;4.600.000;4.590.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-31
AirPods 2 hộp sạc dây;2.600.000;2.799.000;2.799.000;3.390.000;3.290.000;3.390.000;3.390.000;2.790.000;2.740.000;2.750.000;2.650.000;2.750.000;2.750.000;2.600.000;2.790.000;2.790.000;2.890.000;2.890.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-08-31
AirTag - 4 Pack;2.140.000;2.499.000;2.499.000;not trading;not trading;2.230.000;2.230.000;2.190.000;2.140.000;2490000;2490000;2.190.000;2.190.000;2.290.000;2.500.000;2.500.000;2390000;not trading;Yes;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-08-31
AirTag - 1 Pack;590.000;699.000;699.000;710.000;688.700;630.000;630.000;690.000;655.500;720000;720000;590.000;590.000;750.000;790.000;790.000;890.000;not trading;No;No;Yes;Yes;Yes;No;Yes;No;Yes;not trading;2022-08-31
iPhone 13 Pro Max 128GB;26.090.000;27.990.000;27.490.000;28.490.000;28.190.000;27.490.000;27.490.000;27.490.000;26.490.000;27.390.000;27.390.000;26.590.000;26.090.000;26.490.000;27.190.000;26.690.000;27090000;26.390.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-09-01
iPhone 13 Pro Max 256GB;28.890.000;30.490.000;29.990.000;31.490.000;31.190.000;30.690.000;30.690.000;29.990.000;28.990.000;29.790.000;29.790.000;29.390.000;28.890.000;29.390.000;29.990.000;29.490.000;29990000;29.390.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-09-01
iPhone 13 Pro Max 512GB;34.290.000;35.490.000;34.990.000;36.190.000;35.890.000;35.890.000;35.890.000;temporary OOS;temporary OOS;34.990.000;34.990.000;34.790.000;34.290.000;34.590.000;34.990.000;34.490.000;35490000;43.990.000;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;2022-09-01
iPhone 13 Pro Max 1TB;37.990.000;38.490.000;37.990.000;38.490.000;38.190.000;38.490.000;38.490.000;38.990.000;37.990.000;40.990.000;40.990.000;40.290.000;39.790.000;39.590.000;38.990.000;38.490.000;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;not trading;2022-09-01
iPhone 13 Pro 128GB;23.490.000;25.690.000;25.190.000;25.490.000;25.190.000;24.790.000;24.790.000;24.490.000;23.490.000;24.490.000;24.490.000;23.990.000;23.490.000;24.390.000;24.490.000;23.990.000;24990000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPhone 13 Pro 256GB;26.490.000;27.490.000;26.990.000;27.990.000;27.690.000;27.490.000;27.490.000;27.490.000;26.490.000;26.990.000;26.990.000;26.990.000;26.490.000;26.790.000;26.990.000;26.490.000;not trading;26.390.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;No;2022-09-01
iPhone 13 Pro 512GB;30.790.000;31.690.000;31.190.000;31.990.000;31.690.000;31.990.000;31.990.000;31.790.000;30.790.000;32.990.000;32.990.000;32.490.000;31.990.000;31.990.000;32.500.000;32.000.000;not trading;40.990.000;No;Yes;Yes;Yes;Yes;Yes;Yes;No;not trading;No;2022-09-01
iPhone 13 Pro 1TB;34.490.000;34.990.000;34.490.000;34.990.000;34.690.000;34.990.000;34.990.000;36.490.000;35.490.000;37.990.000;37.990.000;37.490.000;36.990.000;37.990.000;38.000.000;37.500.000;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;No;not trading;not trading;2022-09-01
iPhone 13 128GB;18.240.000;18.990.000;18.490.000;20.490.000;20.190.000;19.690.000;19.690.000;19.490.000;18.515.500;18.790.000;18.790.000;18.490.000;18.240.000;18.590.000;18.790.000;18.290.000;19.250.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPhone 13 256GB;20.990.000;22.490.000;21.990.000;23.390.000;23.090.000;22.490.000;22.490.000;21.990.000;20.990.000;21.990.000;21.990.000;21.690.000;21.190.000;21.590.000;21.990.000;21.490.000;21.990.000;21.090.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;2022-09-01
iPhone 13 512GB;24.490.000;26.490.000;25.990.000;26.990.000;26.690.000;26.690.000;26.690.000;not trading;not trading;25.490.000;25.490.000;24.990.000;24.490.000;26.990.000;25.500.000;25.000.000;not trading;23.990.000;Yes;Yes;Yes;not trading;Yes;Yes;No;No;not trading;Yes;2022-09-01
iPhone 13 mini 128GB;16.740.000;18.490.000;17.990.000;18.990.000;18.690.000;18.690.000;18.690.000;17.990.000;17.090.500;17.490.000;17.490.000;16.990.000;16.740.000;16.990.000;17.490.000;16.990.000;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;not trading;not trading;2022-09-01
iPhone 13 mini 256GB;18.740.000;19.990.000;19.490.000;20.990.000;20.690.000;20.690.000;20.690.000;20.990.000;19.990.000;19.990.000;19.990.000;18.990.000;18.740.000;19.990.000;19990000;19490000;not trading;not trading;No;Yes;Yes;Yes;Yes;Yes;No;No;not trading;not trading;2022-09-01
iPhone 13 mini 512GB;21.990.000;25.490.000;24.990.000;23.990.000;23.690.000;23.990.000;23.990.000;not trading;not trading;21.990.000;21.990.000;26.790.000;26.290.000;21.990.000;23.000.000;22.500.000;not trading;not trading;No;Yes;Yes;not trading;Yes;Yes;No;No;not trading;not trading;2022-09-01
iPhone 12 Pro Max 128GB;25.090.000;not trading;not trading;not trading;not trading;not trading;not trading;temporary OOS;temporary OOS;not trading;not trading;not trading;not trading;not trading;25.590.000;25.090.000;not trading;not trading;not trading;not trading;No;No;not trading;not trading;not trading;No;not trading;not trading;2022-09-01
iPhone 12 Pro Max 256GB;27.090.000;not trading;not trading;not trading;not trading;not trading;not trading;temporary OOS;temporary OOS;not trading;not trading;not trading;not trading;28.990.000;27.590.000;27.090.000;not trading;not trading;not trading;not trading;No;No;not trading;not trading;No;Yes;not trading;not trading;2022-09-01
iPhone 12 Pro Max 512GB;30.500.000;not trading;not trading;not trading;not trading;not trading;not trading;temporary OOS;temporary OOS;not trading;not trading;not trading;not trading;36.990.000;31.000.000;30.500.000;not trading;not trading;not trading;not trading;No;No;not trading;not trading;No;Yes;not trading;not trading;2022-09-01
iPhone 12 Pro 128GB;24.490.000;not trading;not trading;not trading;not trading;not trading;not trading;temporary OOS;temporary OOS;25.450.000;25.450.000;not trading;not trading;25.990.000;24.990.000;24.490.000;not trading;not trading;not trading;not trading;No;No;Yes;not trading;No;No;not trading;not trading;2022-09-01
iPhone 12 Pro 256GB;24.490.000;not trading;not trading;not trading;not trading;not trading;not trading;temporary OOS;temporary OOS;26.950.000;26.950.000;not trading;not trading;not trading;24.990.000;24.490.000;not trading;not trading;not trading;not trading;No;No;Yes;not trading;not trading;Yes;not trading;not trading;2022-09-01
iPhone 12 Pro 512GB;27.000.000;not trading;not trading;not trading;not trading;not trading;not trading;temporary OOS;temporary OOS;28.950.000;28.950.000;not trading;not trading;28.490.000;27.500.000;27.000.000;not trading;not trading;not trading;not trading;No;No;Yes;not trading;No;No;not trading;not trading;2022-09-01
iPhone 12 64GB;14.740.000;16.499.000;15.999.000;16.490.000;16.190.000;16.490.000;16.490.000;16.490.000;15.990.000;15.590.000;15.090.000;14.990.000;14.740.000;15.290.000;15.790.000;15.490.000;15.490.000;15.290.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-09-01
iPhone 12 128GB;16.990.000;19.999.000;19.499.000;19.490.000;19.190.000;19.490.000;19.490.000;17.490.000;16.990.000;18.290.000;17.790.000;17.590.000;17.340.000;17590000;17.790.000;17.290.000;17.990.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPhone 12 mini 64GB;13.990.000;16.999.000;16.499.000;not trading;not trading;13.990.000;13.990.000;temporary OOS;temporary OOS;not trading;not trading;14.990.000;14.740.000;14.990.000;15.000.000;14.700.000;not trading;not trading;No;not trading;Yes;No;not trading;Yes;No;Yes;not trading;not trading;2022-09-01
iPhone 12 mini 128GB;14.990.000;20.999.000;20.999.000;not trading;not trading;14.990.000;14.990.000;temporary OOS;temporary OOS;not trading;not trading;15.990.000;15.740.000;17.590.000;16.000.000;15.700.000;not trading;not trading;No;not trading;Yes;No;not trading;Yes;No;No;not trading;not trading;2022-09-01
iPhone 11 64GB;10.240.000;11.399.000;10.899.000;11.190.000;10.890.000;10.690.000;10.690.000;10.990.000;10.490.000;10.490.000;10.390.000;10.490.000;10.240.000;10.490.000;10.790.000;10.490.000;10.850.000;10.999.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-09-01
iPhone 11 128GB;11.740.000;13.699.000;13.199.000;13.690.000;13.390.000;12.890.000;12.890.000;12.290.000;11.790.000;12.490.000;12.390.000;11.990.000;11.740.000;12.390.000;12.190.000;11.890.000;12.330.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPhone SE 2022 64GB;9.690.000;11.490.000;10.990.000;11.990.000;11.690.000;11.690.000;11.690.000;11.990.000;11.490.000;10.790.000;10.790.000;9.990.000;9.740.000;9.990.000;9.990.000;9.690.000;9.990.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;not trading;2022-09-01
iPhone SE 2022 128GB;10.740.000;12.990.000;12.490.000;14.790.000;14.490.000;14.490.000;14.490.000;temporary OOS;temporary OOS;11.990.000;11.990.000;10.990.000;10.740.000;11.990.000;11.990.000;11.690.000;11.850.000;not trading;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPhone SE 2022 256GB;14.490.000;14.990.000;14.490.000;not trading;not trading;not trading;not trading;not trading;not trading;14.990.000;14.990.000;not trading;not trading;14.490.000;15.990.000;15.690.000;not trading;not trading;No;not trading;No;not trading;Yes;not trading;Yes;No;not trading;not trading;2022-09-01
iPad Pro 12.9 2021 M1 WiFi 5G 128GB;25.490.000;29.299.000;28.899.000;29.290.000;28.990.000;29.290.000;29.290.000;28.490.000;28.490.000;26.490.000;25.990.000;25.990.000;25.490.000;25.490.000;25.990.000;25.490.000;25990000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;not trading;2022-09-01
iPad Pro 12.9 2021 M1 WiFi 5G 256GB;28.490.000;31.399.000;30.999.000;31.390.000;31.090.000;31.390.000;31.390.000;temporary OOS;temporary OOS;30.990.000;30.490.000;30.890.000;30.390.000;not trading;28.990.000;28.490.000;not trading;not trading;Yes;Yes;Yes;No;Yes;Yes;not trading;Yes;not trading;not trading;2022-09-01
iPad Pro 12.9 2021 M1 WiFi 128GB;22.490.000;25.499.000;25.099.000;25.490.000;25.190.000;25.490.000;25.490.000;24.290.000;24.290.000;23.990.000;23.490.000;22.990.000;22.490.000;23.990.000;23.990.000;23.490.000;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;not trading;not trading;2022-09-01
iPad Pro 12.9 2021 M1 WiFi 256GB;25.090.000;27.999.000;27.599.000;27.990.000;27.690.000;27.990.000;27.990.000;not trading;not trading;25.590.000;25.090.000;25.950.000;25.450.000;not trading;25.990.000;25.490.000;not trading;not trading;Yes;Yes;Yes;not trading;Yes;Yes;not trading;Yes;not trading;not trading;2022-09-01
iPad Pro 11 2021 M1 WiFi 5G 128GB;23.450.000;25.299.000;24.899.000;25.990.000;25.990.000;25.990.000;25.990.000;temporary OOS;temporary OOS;23.950.000;23.450.000;23.990.000;23.490.000;not trading;25.190.000;24.690.000;not trading;not trading;Yes;No;Yes;No;Yes;No;not trading;Yes;not trading;not trading;2022-09-01
iPad Pro 11 2021 M1 WiFi 5G 256GB;25.950.000;29.499.000;29.099.000;29.490.000;29.490.000;29.490.000;29.490.000;temporary OOS;temporary OOS;26.450.000;25.950.000;26.490.000;25.990.000;not trading;28.590.000;28.090.000;not trading;40.000.000;Yes;No;No;No;Yes;Yes;not trading;No;not trading;No;2022-09-01
iPad Pro 11 2021 M1 WiFi 128GB;18.890.000;19.999.000;19.599.000;20.490.000;20.190.000;20.190.000;20.190.000;temporary OOS;temporary OOS;19.390.000;18.890.000;19.590.000;19.340.000;19.590.000;19.490.000;18.990.000;19.580.000;not trading;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPad Pro 11 2021 M1 WiFi 256GB;21.990.000;23.999.000;23.599.000;23.490.000;23.190.000;23.490.000;23.490.000;temporary OOS;temporary OOS;22.990.000;22.490.000;22.490.000;21.990.000;not trading;22.690.000;22.190.000;not trading;not trading;No;Yes;Yes;No;Yes;Yes;not trading;Yes;not trading;not trading;2022-09-01
iPad Air 5 2022 10.9 inch M1 WiFi 5G 64GB;17.240.000;18.990.000;18.590.000;20.490.000;20.190.000;20.490.000;20.490.000;18.890.000;17.945.500;18.790.000;18.290.000;17.490.000;17.240.000;18.290.000;18.990.000;18.490.000;18.850.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPad Air 5 2022 10.9 inch M1 WiFi 5G 256GB;21.490.000;23.990.000;23.590.000;24.490.000;24.490.000;24.490.000;24.490.000;22990000;21990000;22.990.000;22.490.000;21.990.000;21.490.000;23.490.000;22.990.000;22.490.000;not trading;not trading;No;No;Yes;Yes;Yes;No;No;No;not trading;not trading;2022-09-01
iPad Air 5 2022 10.9 inch M1 WiFi 64GB;14.620.500;15.990.000;15.590.000;16.490.000;16.190.000;16.490.000;16.490.000;15.390.000;14.620.500;15.190.000;14.690.000;14.990.000;14.740.000;14.790.000;14.990.000;14.690.000;14.990.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPad Air 5 2022 10.9 inch M1 WiFi 256GB;17.740.000;19.990.000;19.590.000;20.490.000;20.490.000;20.490.000;20.490.000;not trading;not trading;18.490.000;17.990.000;17.990.000;17.740.000;18.890.000;18.590.000;18.090.000;not trading;not trading;Yes;No;Yes;not trading;Yes;Yes;Yes;Yes;not trading;not trading;2022-09-01
iPad Air 10.9 2020 WiFi + Cellular 64GB;15.190.000;16.499.000;16.099.000;16.490.000;16.490.000;16.490.000;16.490.000;15.190.000;15.190.000;15.990.000;15.490.000;15.990.000;15.740.000;21.790.000;15.690.000;15.390.000;not trading;not trading;No;No;No;Yes;Yes;Yes;No;Yes;not trading;not trading;2022-09-01
iPad Air 10.9 2020 WiFi + Cellular 256GB;17.490.000;not trading;not trading;18.990.000;18.690.000;18.990.000;18.990.000;not trading;not trading;18.590.000;18.090.000;19.490.000;19.240.000;26.290.000;17.990.000;17.490.000;not trading;not trading;not trading;Yes;Yes;not trading;Yes;Yes;No;Yes;not trading;not trading;2022-09-01
iPad Air 10.9 2020 WiFi 64GB;13.290.000;not trading;not trading;13.590.000;13.590.000;13.590.000;13.590.000;temporary OOS;temporary OOS;13.790.000;13.790.000;13.890.000;13.640.000;13.290.000;14.190.000;13.890.000;13980000;not trading;not trading;No;No;No;Yes;Yes;No;No;Yes;not trading;2022-09-01
iPad Air 10.9 2020 WiFi 256GB;15.490.000;not trading;not trading;17.990.000;17.990.000;17.990.000;17.990.000;not trading;not trading;16.990.000;16.490.000;15.990.000;15.740.000;22.390.000;15.790.000;15.490.000;not trading;not trading;not trading;No;No;not trading;Yes;No;No;No;not trading;not trading;2022-09-01
iPad 10.2 2021 WiFi + Cellular 64GB;10.690.000;11.890.000;11.490.000;11.990.000;11.690.000;11.790.000;11.790.000;11.590.000;11.010.500;11.190.000;11.090.000;11.190.000;10.940.000;11.890.000;10.990.000;10.690.000;11.490.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPad 10.2 2021 WiFi + Cellular 256GB;14.620.500;15.990.000;15.590.000;15.990.000;15.690.000;15.790.000;15.790.000;15.390.000;14.620.500;15.790.000;15.690.000;14.990.000;14.740.000;16.390.000;16.500.000;16.200.000;not trading;not trading;Yes;Yes;Yes;Yes;Yes;Yes;No;No;not trading;not trading;2022-09-01
iPad 10.2 2021 WiFi 64GB;7.970.500;8.790.000;8.390.000;8.990.000;8.690.000;8.790.000;8.790.000;8.390.000;7.970.500;8.390.000;8.290.000;8.360.000;8.110.000;8.390.000;8.490.000;8.190.000;8.490.000;7.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;2022-09-01
iPad 10.2 2021 WiFi 256GB;11.490.000;12.490.000;12.090.000;12.990.000;12.690.000;12.790.000;12.790.000;11.990.000;11.490.000;12.390.000;12.290.000;12.160.000;11.910.000;12.590.000;11.890.000;11.590.000;not trading;13.990.000;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;No;2022-09-01
iPad mini 8.3 2021 WiFi 5G 64GB;14.990.000;17.390.000;16.990.000;17.490.000;17.190.000;16.990.000;16.990.000;16.390.000;15.570.500;15.990.000;15.890.000;15.490.000;15.240.000;15.990.000;15.290.000;14.990.000;16.450.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPad mini 8.3 2021 WiFi 5G 256GB;17.490.000;20.190.000;19.790.000;21.490.000;21.190.000;20.990.000;20.990.000;22.990.000;22.990.000;19.590.000;19.490.000;19.690.000;19.440.000;19.990.000;17.990.000;17.490.000;not trading;not trading;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;not trading;not trading;2022-09-01
iPad mini 8.3 2021 WiFi 64GB;12.530.500;12.990.000;12.590.000;13.490.000;13.190.000;12.990.000;12.990.000;13.190.000;12.530.500;12.990.000;12.890.000;13.190.000;12.940.000;13.190.000;12.990.000;12.690.000;13.190.000;not trading;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;not trading;2022-09-01
iPad mini 8.3 2021 WiFi 256GB;16.200.000;17.990.000;17.590.000;17.490.000;17.190.000;16.990.000;16.990.000;18.990.000;18.990.000;16.690.000;16.590.000;16.690.000;16.440.000;16.790.000;16.500.000;16.200.000;16500000;not trading;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;not trading;2022-09-01
"MacBook Pro 16"" 2021 M1 Pro 512GB";57.090.000;59.990.000;59.590.000;60.990.000;60.690.000;60.790.000;60.490.000;update later;update later;58.990.000;57.990.000;57.590.000;57.090.000;62.590.000;57.990.000;57.490.000;59990000;not trading;Yes;Yes;Yes;update later;Yes;Yes;No;Yes;Yes;not trading;2022-09-01
